Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Rosehill Road,575000,Flat / Apartment,680,2,2,2,Wandsworth,London,SW18 2NX,845.5882352941177
Jessica Road,1550000,House,2265,5,5,5,Unknown,London,SW18 2QL,684.326710816777
Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW,1036.0635696821516
Elm Tree Court,600000,Flat / Apartment,514,1,1,1,Elm Tree Road,London,NW8 9JT,1167.3151750972763
Albany Park Road,2700000,House,3705,6,6,6,Kingston upon Thames,Surrey,KT2 5SW,728.744939271255
Upper Richmond Road,699950,Flat / Apartment,816,2,2,2,Putney,London,SW15 2DU,857.781862745098
Sefton Street,1225000,House,1450,3,3,3,Putney,London,SW15 1NA,844.8275862068965
Broadfield Lane,950000,New development,849,3,3,3,King's Cross,London,NW1 9DJ,1118.9634864546526
Gloucester Avenue,799999,Flat / Apartment,483,1,1,1,Primrose Hill,London,NW1 8HX,1656.3126293995858
King Edwards Road,1725000,House,2512,5,5,5,Ruislip,Middlesex,HA4 7AQ,686.703821656051
Greenhill Court,550000,Flat / Apartment,1899,2,2,2, Northwood,Middlesex,HA6 2BD,289.62611901000525
Ladbroke Grove,925000,Flat / Apartment,635,1,1,1,Unknown,London,W11 2HE,1456.6929133858268
Manchuria Road,1625000,House,2056,4,4,4,Unknown,London,SW11 6AE,790.3696498054475
Bellevue Road,825000,Flat / Apartment,840,2,2,2,Unknown,London,SW17 7EB,982.1428571428571
St. James's Drive,900000,Flat / Apartment,1170,3,3,3,Unknown,London,SW17 7RT,769.2307692307693
Clapham High Street,550000,Flat / Apartment,790,2,2,2,Unknown,London,SW4 7TP,696.2025316455696
Cumberland Mansions,1500000,Flat / Apartment,1186,3,3,3, Marylebone,London,W1H 5ZA,1264.7554806070825
Hepworth Court,750000,Flat / Apartment,627,1,1,1,30 Gatliff Road,London,SW1W 8QN,1196.1722488038276
Cadogan Gardens,1695000,Flat / Apartment,1187,2,2,2,Unknown,London,SW3 2RB,1427.9696714406066
Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN,1388.773148148148
Hemingford Road,2399500,House,2222,4,4,4,Unknown,London,N1 1BZ,1079.8829882988298
Florence Street,950000,Flat / Apartment,929,3,3,3,Unknown,London,N1 2EA,1022.6049515608181
Southgate Road,875000,Flat / Apartment,918,2,2,2,Unknown,London,N1 3HX,953.1590413943355
Barnsbury Square,2250000,House,1642,4,4,4,Barnsbury,London,N1 1JL,1370.2801461632157
South Hill Park Gardens,4395000,House,3292,5,5,5,Hampstead,London,NW3 2TD,1335.0546780072905
Makepeace Mansions,439950,Flat / Apartment,466,1,1,1,Makepeace Avenue,London,N6 6ES,944.0987124463519
Bridgepoint Place,1795000,House,1669,4,4,4,Hornsey Lane,London,N6 5LJ,1075.4943079688437
Armadale Road,699950,Flat / Apartment,734,2,2,2,Unknown,London,SW6 1JP,953.6103542234332
Bishops Road,815000,Flat / Apartment,969,3,3,3,Fulham,London,SW6 7AD,841.0732714138287
Letterstone Road,1375000,House,1427,4,4,4,Unknown,London,SW6 7BA,963.5599159074983
Grove Way,1630000,House,3457,6,6,6,Esher,Surrey,KT10 8HQ,471.50708706971363
Westville Road,1195000,House,1953,5,5,5,Thames Ditton,Surrey,KT7 0UH,611.879160266257
St. Leonards Road,1595000,House,3110,4,4,4,Thames Ditton,Surrey,KT7 0RN,512.8617363344051
New Road,1850000,House,2739,5,5,5,Esher,Surrey,KT10 9NU,675.4289886820007
Carrington Place,725000,Flat / Apartment,1328,3,3,3, Esher,Surrey,KT10 9SF,545.933734939759
Sandown House,895000,Flat / Apartment,1255,2,2,2, Esher,Surrey,KT10 9SL,713.1474103585657
Wolsey Road,775000,House,1160,3,3,3,Esher,Surrey,KT10 8NT,668.1034482758621
Courtfield Gardens,2250000,Flat / Apartment,1700,3,3,3,Unknown,London,SW5 0PD,1323.5294117647059
Courtfield Gardens,2650000,Flat / Apartment,1393,2,2,2,Unknown,London,SW5 0ND,1902.3689877961235
Icon Apartments,480000,Flat / Apartment,732,2,2,2,32 Duckett Street,London,E1 4FX,655.7377049180328
Streathbourne Road,1975000,House,2827,6,6,6,Unknown,London,SW17 8QZ,698.6204457021578
Linnet Mews,625000,House,638,2,2,2,Unknown,London,SW12 8JE,979.6238244514107
Thurleigh Road,1850000,House,2286,4,4,4,Unknown,London,SW12 8TY,809.2738407699038
Tantallon Road,1600000,House,2201,5,5,5,Unknown,London,SW12 8DF,726.9422989550204
Chandlers Avenue,399995,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN,723.3182640144665
Cranbrook Road,1350000,House,1628,4,4,4,Chiswick,London,W4 2LJ,829.2383292383292
Copenhagen Gardens,760000,House,919,2,2,2,Chiswick,London,W4 5NN,826.9858541893362
Eastbourne Road,1600000,House,1983,4,4,4, Chiswick,London,W4 3EB,806.8582955118508
Old Church Street,500000,Flat / Apartment,373,1,1,1,Chelsea,London,SW3 5BZ,1340.4825737265417
Meredyth Road,2350000,House,2200,5,5,5,Barnes,London,SW13 0DY,1068.1818181818182
Arundel Terrace,1325000,House,1476,3,3,3,Barnes,London,SW13 8DS,897.6964769647697
Dawes Road,1350000,House,1707,4,4,4,Unknown,London,SW6 7EJ,790.8611599297012
Hunts Paper Factory,850000,Flat / Apartment,906,2,2,2,49 Atalanta Street,London,SW6 6TU,938.1898454746137
Brackenbury Road,1500000,Duplex,2024,4,4,4,Brackenbury Village,London,W6 0BE,741.1067193675889
Television Centre,1090000,New development,923,2,2,2,101 Wood Lane,London,W12 7FS,1180.931744312026
Television Centre,1425000,Flat / Apartment,1067,2,2,2,6 Wood Crescent,London,W12 7GS,1335.5201499531397
Robertson Street,925000,House,1518,4,4,4,Unknown,London,SW8 3TJ,609.3544137022398
Simpson Street,1080000,House,1435,3,3,3,Unknown,London,SW11 3HN,752.6132404181185
Albany Mansions,1100000,Flat / Apartment,942,2,2,2,Albert Bridge Road,London,SW11 4PQ,1167.728237791932
Latchmere Road,1000000,House,1523,4,4,4,Battersea,London,SW11 2DS,656.5988181221273
Waterside Point,2500000,Flat / Apartment,1717,2,2,2, Battersea,London,SW11 4PD,1456.02795573675
Sutherland Street,650000,Flat / Apartment,509,1,1,1,Unknown,London,SW1V 4LA,1277.0137524557956
Old Market Square,500000,Flat / Apartment,815,3,3,3,Unknown,London,E2 7PQ,613.4969325153374
Blomfield Villas,499999,Flat / Apartment,360,1,1,1,Little Venice,London,W2 6NQ,1388.8861111111112
Ridgmount Gardens,800000,Flat / Apartment,558,2,2,2,Fitzrovia,London,WC1E 7AX,1433.6917562724013
Rathbone Square,1140000,New development,580,1,1,1, Fitzrovia,London,W1T 1JN,1965.5172413793102
Bryanston Court,2150000,Flat / Apartment,1969,3,3,3, Marylebone,London,W1H 7HE,1091.9248349415948
Craven Street,2000000,Flat / Apartment,1415,2,2,2,Unknown,London,WC2N 5NS,1413.4275618374559
Boundaries Road,1475000,House,2366,4,4,4,Unknown,London,SW12 8HF,623.4150464919695
Blandford Street,695000,Flat / Apartment,429,1,1,1,Unknown,London,W1U 8AG,1620.04662004662
Huntsmore House,1895000,Penthouse,1447,3,3,3,35 Pembroke Road,London,W8 6LZ,1309.6060815480305
Highbury Gardens,500000,Flat / Apartment,563,1,1,1,Unknown,52 Holloway Road,N7 8BW,888.0994671403197
Enfield Road,585000,Flat / Apartment,750,2,2,2,Unknown,London,N1 5EN,780.0
Parkholme Road,1525000,House,1750,4,4,4,Hackney,London,E8 3AQ,871.4285714285714
Dashwood House,1500000,Flat / Apartment,1311,3,3,3, Longfield Avenue,London,W5 2JU,1144.1647597254005
North Common Road,2950000,House,4125,6,6,6,Ealing,London,W5 2QB,715.1515151515151
North Avenue,2950000,House,3165,5,5,5,Ealing,London,W13 8AP,932.0695102685625
Villiers Avenue,765000,House,1143,3,3,3,Surbiton,Surrey,KT5 8BH,669.2913385826772
Berrylands Road,1050000,House,1949,4,4,4,Surbiton,Surrey,KT5 8PD,538.737814263725
Magna Square,850000,House,1326,3,3,3,East Sheen,London,SW14 8LH,641.025641025641
Cinnabar Wharf West,999500,Flat / Apartment,796,2,2,2,22 Wapping High Street,London,E1W 1NJ,1255.6532663316582
Bickley Street,525000,Flat / Apartment,714,2,2,2,Unknown,London,SW17 9NE,735.2941176470588
Cavendish Road,550000,Flat / Apartment,701,2,2,2,Balham,London,SW12 0PQ,784.5934379457917
Calbourne Road,1350000,House,1605,4,4,4,Unknown,London,SW12 8LR,841.1214953271028
Addison Gardens,825000,Flat / Apartment,753,2,2,2,Unknown,London,W14 0DP,1095.617529880478
Foundry House,699995,Flat / Apartment,791,2,2,2, Canary Wharf,London,E14 6NJ,884.9494310998736
Malpas Road,590000,House,1271,4,4,4,Unknown,London,E8 1NA,464.20141620771045
Burnfoot Avenue,1650000,House,2042,5,5,5, Fulham,London,SW6 5EA,808.0313418217434
College Building,625000,Flat / Apartment,776,1,1,1,3 Forfar Road,London,SW11 4FR,805.4123711340206
Goswell Road,750000,Flat / Apartment,789,2,2,2,Islington,London,EC1V 7AH,950.5703422053232
London Mill Apartments,539000,Flat / Apartment,610,2,2,2,Whiston Road,London,E2 8FS,883.6065573770492
St. Charles Square,699950,Flat / Apartment,602,2,2,2,North Kensington,London,W10 6EN,1162.7076411960134
Enmore Gardens,1500000,House,1580,4,4,4,Unknown,London,SW14 8RF,949.367088607595
East Sheen Avenue,2500000,House,3058,6,6,6,Unknown,London,SW14 8AU,817.5277959450622
Lowndes Square,1495000,Flat / Apartment,886,2,2,2,Unknown,London,SW1X 9JU,1687.3589164785553
Eagle Wharf Court,1100000,Flat / Apartment,1058,2,2,2,Lafone Street,London,SE1 2LZ,1039.6975425330813
Corfton Road,3000000,Flat / Apartment,6049,5,5,5,Unknown,London,W5 2HT,495.94974375929905
Christchurch Road,2695000,House,2938,6,6,6,Unknown,London,SW14 7AT,917.290673927842
Drapers Court,725000,Flat / Apartment,800,2,2,2,59 Lurline Gardens,London,SW11 4DF,906.25
Belgrave Mansions,1700000,Flat / Apartment,1303,3,3,3,Belgrave Gardens,London,NW8 0RA,1304.6815042210285
Islington Place,3350000,House,3564,4,4,4,Islington,London,N1 0ET,939.9551066217733
Admiralty Avenue,999995,House,1855,3,3,3,Unknown,London,E16 2PL,539.0808625336928
Baynes Mews,3650000,House,3070,5,5,5,Belsize Park,London,NW3 5BH,1188.9250814332247
Battersea Square,1295000,Flat / Apartment,1471,2,2,2,Unknown,London,SW11 3RA,880.3535010197145
Tavistock Place,1395000,Flat / Apartment,847,2,2,2,Unknown,London,WC1H 9SH,1646.9893742621016
Curzon Square,2850000,Flat / Apartment,1091,2,2,2,Mayfair,London,W1J 7FZ,2612.282309807516
Phoenix Way,470000,Flat / Apartment,531,1,1,1,Unknown,London,SW18 2PW,885.1224105461393
Wellington House,830000,Flat / Apartment,551,1,1,1,70 Buckingham Gate,London,SW1E 6AL,1506.3520871143376
Lowfield Road,1250000,House,1872,4,4,4,Unknown,London,W3 0AY,667.7350427350427
St. George's Square,895000,Flat / Apartment,836,2,2,2,Pimlico,London,SW1V 2HX,1070.5741626794259
Bedford Villas,825000,House,1443,3,3,3,Whitehead Close,London,SW18 3EP,571.7255717255717
Banbury House,625000,Flat / Apartment,925,3,3,3,Banbury Road,London,E9 7EB,675.6756756756756
Cadogan Square,2500000,Flat / Apartment,1033,3,3,3,Unknown,London,SW1X 0JW,2420.135527589545
Cadogan Square,4000000,Flat / Apartment,1948,3,3,3,Unknown,London,SW1X 0HY,2053.388090349076
Hale House,3950000,Flat / Apartment,2573,3,3,3,34 De Vere Gardens,London,W8 5AQ,1535.172949863972
Almorah Road,675000,Flat / Apartment,722,2,2,2,Canonbury,London,N1 3EU,934.9030470914128
Sanderling Lodge,925000,Flat / Apartment,969,2,2,2,Star Place,London,E1W 1AJ,954.592363261094
Calbourne Road,1550000,House,1963,4,4,4,Unknown,London,SW12 8LW,789.6077432501273
Albany Mansions,999950,Flat / Apartment,927,2,2,2,Albert Bridge Road,London,SW11 4PQ,1078.6947141316073
Ability Place,715000,Flat / Apartment,969,2,2,2, Canary Wharf,London,E14 9DF,737.8740970072239
White Hart Lane,1650000,House,1869,4,4,4,Barnes,London,SW13 0PU,882.8250401284109
Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX,1145.2031114952463
Atlantic House,850000,Penthouse,1249,3,3,3, Shoreditch,London,E2 8HH,680.5444355484387
New North Road,475000,Flat / Apartment,477,1,1,1,Hoxton,London,N1 6JB,995.8071278825996
Bateman's Row,950000,Flat / Apartment,1190,2,2,2,Unknown,London,EC2A 3HH,798.3193277310925
Cicada Road,1250000,House,1658,4,4,4,Wandsworth,London,SW18 2NN,753.9203860072377
Ennismore Avenue,2500000,House,2960,5,5,5,Chiswick,London,W4 1SF,844.5945945945946
Arbrook Lane,1950000,House,2817,6,6,6,Esher,Surrey,KT10 9EG,692.2257720979766
Riverside Court,2950000,Penthouse,2128,3,3,3,20 Nine Elms Lane,London,SW8 5BZ,1386.2781954887218
Great Sutton Street,1395000,Flat / Apartment,1150,2,2,2,Unknown,London,EC1V 0DP,1213.0434782608695
Otto Building,1300000,Penthouse,1476,3,3,3,Downs Road,London,E5 8DE,880.7588075880759
Albany Mansions,1025000,Flat / Apartment,947,3,3,3,Albert Bridge Road,London,SW11 4PQ,1082.3653643083421
White Horse Lane,650000,House,997,2,2,2,Unknown,London,E1 4LR,651.9558676028084
Mount Park Road,2000000,House,2593,4,4,4,Harrow On The Hill,Middlesex,HA1 3LD,771.3073659853452
Bushberry Road,950000,House,1298,4,4,4,Unknown,London,E9 5SX,731.8952234206472
Wilmington House,500000,Flat / Apartment,572,1,1,1, Highbury,London,N5 1RX,874.1258741258741
Garnet Street,1200000,House,1125,3,3,3,Unknown,London,E1W 3QS,1066.6666666666667
Chilton Street,625000,Flat / Apartment,842,1,1,1,Shoreditch,London,E2 6EA,742.2802850356295
Geraldine Road,1350000,House,1873,5,5,5,Wandsworth,London,SW18 2NR,720.7688200747464
Furlong Road,1899950,House,1250,3,3,3,Unknown,London,N7 8LS,1519.96
Morpeth Mansions,2100000,Flat / Apartment,1556,4,4,4,Morpeth Terrace,London,SW1P 1ET,1349.6143958868895
Lord North Street,3900000,House,2139,3,3,3,Unknown,London,SW1P 3LD,1823.2819074333802
No.1 Grosvenor Square,39750000,New development,5623,5,5,5,Mayfair,London,W1K 4AB,7069.180152943269
No.1 Grosvenor Square,14250000,New development,2415,3,3,3,Mayfair,London,W1K 4AB,5900.621118012423
Montpelier Road,1300000,Flat / Apartment,1986,3,3,3,Unknown,London,W5 2QS,654.5820745216515
Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB,1053.3910533910534
Auriol Road,409950,Flat / Apartment,463,1,1,1,Unknown,London,W14 0SR,885.4211663066955
Allfarthing Lane,735000,Flat / Apartment,983,3,3,3,Wandsworth,London,SW18 2PG,747.7110885045778
Provost Street,495000,Flat / Apartment,499,1,1,1,Old Street,London,N1 7NB,991.9839679358718
City Lofts,875000,Flat / Apartment,898,1,1,1, Shoreditch,London,EC2A 4LE,974.3875278396437
Randolph Avenue,1250000,Flat / Apartment,913,2,2,2,Unknown,London,W9 1DJ,1369.1128148959474
Marlborough,700000,Flat / Apartment,870,2,2,2,Maida Vale,London,W9 1RW,804.5977011494252
No.1 Grosvenor,8250000,New development,1455,2,2,2,Mayfair,London,W1K 4AB,5670.103092783505
Southgate Road,835000,Flat / Apartment,878,2,2,2,Unknown,London,N1 3JZ,951.0250569476082
Orsman Road,800000,New development,920,3,3,3,Hackney,London,N1 5QJ,869.5652173913044
York Avenue,1950000,House,2006,5,5,5,Unknown,London,SW14 7LG,972.0837487537387
Globe Road,725000,House,904,3,3,3,Unknown,London,E1 4DY,801.9911504424779
Orchard Building,900000,Flat / Apartment,802,2,2,2, Clerkenwell,London,EC1V 3AP,1122.1945137157106
Park Lane,800000,Flat / Apartment,532,1,1,1,Mayfair,London,W1K 7AF,1503.7593984962407
Rusthall Avenue,2550000,House,2679,5,5,5,Chiswick,London,W4 1BW,951.8477043673013
The Drive,1400000,Bungalow,2921,4,4,4, Uxbridge,Middlesex,UB10 8AF,479.28791509756934
Shirland Road,675000,Flat / Apartment,676,1,1,1,Maida Vale,London,W9 2BT,998.5207100591716
Herndon Road,725000,Flat / Apartment,875,2,2,2,Unknown,London,SW18 2DQ,828.5714285714286
Sir John Lyon House,3950000,Flat / Apartment,2780,3,3,3,8 High Timber Street,London,EC4V 3PA,1420.863309352518
Montrose Gardens,4750000,House,8590,7,7,7,Oxshott,Surrey,KT22 0UU,552.9685681024447
Grosvenor Road,2250000,House,2736,5,5,5,Chiswick,London,W4 4EH,822.3684210526316
Leys Road,4300000,House,9623,7,7,7,Oxshott,Surrey,KT22 0QE,446.84609789047073
Huron Road,2550000,House,3753,7,7,7,Unknown,London,SW17 8RD,679.4564348521183
Herondale Avenue,5500000,House,4292,6,6,6,Wandsworth,London,SW18 3JN,1281.4538676607642
Victoria Rise,435000,Flat / Apartment,465,1,1,1,Unknown,London,SW4 0PF,935.483870967742
Stapleton Hall Road,499950,Flat / Apartment,666,1,1,1,Unknown,London,N4 4QA,750.6756756756756
Denton Road,1800000,House,2098,4,4,4,Unknown,Twickenham,TW1 2TN,857.9599618684462
Gunmakers Lane,435000,Flat / Apartment,506,1,1,1,Unknown,London,E3 5GG,859.6837944664031
Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ,1331.9946452476572
Highstone House,1550000,Flat / Apartment,1315,3,3,3,21 Highbury Crescent,London,N5 1RX,1178.7072243346008
Vincent Square,3600000,House,2600,4,4,4,Unknown,London,SW1P 2NP,1384.6153846153845
Elsham Road,750000,Flat / Apartment,709,2,2,2,Unknown,London,W14 8HB,1057.8279266572638
Cambridge Street,680000,Flat / Apartment,581,2,2,2,Pimlico,London,SW1V 4QE,1170.39586919105
Roden Street,1395000,House,1428,5,5,5,Holloway,London,N7 6QJ,976.890756302521
Bolanachi Building,575000,Flat / Apartment,745,2,2,2,Enid Street,London,SE16 3EX,771.8120805369127
Barham Road,2675000,House,3595,5,5,5,Wimbledon,London,SW20 0ET,744.0890125173853
Shepherdess Walk,2200000,Flat / Apartment,2288,3,3,3,Old Street,London,N1 7LB,961.5384615384615
Wellington Close,2300000,House,1447,2,2,2,Unknown,London,W11 2AN,1589.4955079474776
Kenilworth Gardens,520000,House,1162,4,4,4,Unknown,London,SE18 3JB,447.5043029259897
Hillbrook Road,875000,House,1140,4,4,4,Unknown,London,SW17 8SF,767.5438596491229
Television Centre,740000,Penthouse,579,1,1,1,101 Wood Lane,London,W12 7FS,1278.0656303972366
Phoenix Way,525000,Flat / Apartment,699,2,2,2,Unknown,London,SW18 2PW,751.0729613733905
Brunswick Gardens,9500000,House,4454,5,5,5,Unknown,London,W8 4AJ,2132.9142343960484
Wood Crescent,1250000,Flat / Apartment,897,2,2,2,Unknown,London,W12 7GP,1393.5340022296543
Graveney Road,795000,House,1236,3,3,3,Unknown,London,SW17 0EQ,643.2038834951456
Philbeach Gardens,935000,Flat / Apartment,683,2,2,2,Unknown,London,SW5 9DY,1368.9604685212298
Chiswick Village,535000,Flat / Apartment,678,2,2,2,Unknown,London,W4 3DF,789.0855457227138
Sulgrave Road,1995000,House,2055,4,4,4,Unknown,London,W6 7QH,970.8029197080292
Coleraine Road,1800000,House,2996,5,5,5,Blackheath,London,SE3 7PQ,600.8010680907877
Wellfield Road,750000,House,1030,3,3,3,Unknown,London,SW16 2BY,728.1553398058253
17 Lillie Square,1430000,New development,905,2,2,2, Earls Court,London,SW6 1UE,1580.110497237569
Claremont Square,1500000,Flat / Apartment,1197,2,2,2,Unknown,London,N1 9LS,1253.1328320802006
Leppoc Road,1890000,House,2408,5,5,5,Unknown,London,SW4 9LT,784.8837209302326
Walsingham,1990000,Flat / Apartment,1364,3,3,3,St. Johns Wood Park,London,NW8 6RG,1458.9442815249267
Battersea Park Road,825000,Flat / Apartment,1109,2,2,2,Unknown,London,SW11 4ND,743.9134355275022
Samford House,525000,Flat / Apartment,779,4,4,4,Charlotte Terrace,London,N1 0JF,673.9409499358152
Buckston Browne Gardens,1900000,House,4558,5,5,5, Orpington,Kent,BR6 7FF,416.8494953927161
Leathwaite Road,725000,Flat / Apartment,635,2,2,2,Unknown,London,SW11 1XQ,1141.732283464567
Telfords Yard,900000,Flat / Apartment,1436,2,2,2,Unknown,London,E1W 2BS,626.740947075209
Belgrave Road,3995000,House,4642,6,6,6,Pimlico,London,SW1V 2BQ,860.6204222317966
Dalby Road,1100000,House,1420,3,3,3, Wandsworth,London1500,SW18 1AW,774.6478873239437
Deerings Drive,975000,House,1448,4,4,4,Pinner,Middlesex,HA5 2NZ,673.3425414364641
Astonville Street,1225000,House,1495,4,4,4,Southfields,London,SW18 5AG,819.3979933110368
Upper Halliford Road,325000,Flat / Apartment,601,2,2,2,Shepperton,Middlesex,TW17 8SH,540.7653910149751
Earlsfield Road,1175000,House,2259,5,5,5,Wandsworth,London,SW18 3DY,520.1416555998229
City Road,500000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG,907.4410163339383
Wilton Place,6600000,House,3388,5,5,5,Unknown,London,SW1X 8RH,1948.051948051948
Hillbrow,850000,Flat / Apartment,1239,3,3,3, Richmond,Surrey,TW10 6BH,686.0371267150928
Church Road,3950000,House,4629,6,6,6, Richmond,Surrey,TW10 5HG,853.3160509829337
Regents Park Road,1750000,Flat / Apartment,1677,2,2,2,Primrose Hill,London,NW1 7SX,1043.530113297555
Spencer Road,1950000,House,2797,6,6,6,East Molesey,Surrey,KT8 0SP,697.1755452270289
York Mansions,2100000,Flat / Apartment,1550,3,3,3,Prince of Wales Drive,London,SW11 4BN,1354.8387096774193
Overstrand Mansions,1685000,Flat / Apartment,1318,2,2,2,Prince of Wales Drive,London,SW11 4EU,1278.4522003034901
Candlemakers Apartments,550000,Flat / Apartment,759,1,1,1, Battersea,London,SW11 3RS,724.6376811594203
Bond Mansions (Phase 2a),690000,New development,633,1,1,1,Unknown,Wornington Road,W10 5RZ,1090.047393364929
Bond Mansions (Phase 2a),685000,New development,594,1,1,1,Unknown,Wornington Road,W10 5RZ,1153.1986531986531
Bond Mansions (Phase 2a),765000,New development,733,2,2,2,Unknown,Wornington Road,W10 5RZ,1043.656207366985
Cavendish Road,435000,Flat / Apartment,412,1,1,1,Unknown,London,SW12 0BH,1055.8252427184466
Cavendish Road,435000,Flat / Apartment,420,1,1,1,Unknown,London,SW12 0BH,1035.7142857142858
Bond Mansions (Phase 2a),825000,New development,775,2,2,2,Unknown,Wornington Road,W10 5RZ,1064.516129032258
Gowing House,1150000,New development,1206,3,3,3, Wandsworth,London,SW18 1SZ,953.5655058043118
Bond Mansions,710000,New development,830,1,1,1,Unknown,Wornington Road,W10 5RZ,855.4216867469879
Avenue Close,1695000,Flat / Apartment,1168,2,2,2,Avenue Road,London,NW8 6DA,1451.1986301369864
Provost Street,500000,Flat / Apartment,508,1,1,1,Shoreditch,London,N1 7NB,984.2519685039371
Cavendish Road,850000,Flat / Apartment,907,3,3,3,Unknown,London,SW12 0BH,937.1554575523704
The Listed Building,970000,Flat / Apartment,1350,2,2,2,350 The Highway,London,E1W 3HU,718.5185185185185
Highbury Hill,1650000,House,1642,4,4,4,Unknown,London,N5 1AU,1004.8721071863581
Reynolds House,475000,Flat / Apartment,663,2,2,2,Approach Road,London,E2 9JR,716.4404223227752
Trouville Road,1050000,Flat / Apartment,1050,2,2,2,Unknown,London,SW4 8QL,1000.0
Clancarty Road,1750000,House,1770,4,4,4,Unknown,London,SW6 3AH,988.7005649717514
Pembridge Road,750000,Flat / Apartment,477,1,1,1,Unknown,London,W11 3HN,1572.3270440251572
Kensington House,650000,Flat / Apartment,1162,2,2,2, Woodford Green,Essex,IG8 8RJ,559.3803786574871
Belsize Avenue,580000,Flat / Apartment,607,1,1,1,Unknown,London,NW3 4BL,955.5189456342669
17 Lillie Square,1680000,New development,1100,2,2,2, Earls Court,London,SW6 1UE,1527.2727272727273
Turner House,1250000,Flat / Apartment,802,1,1,1, Covent Garden,London,WC2R 0PP,1558.6034912718205
Pierhead Lock,700000,Flat / Apartment,1387,4,4,4, Canary Wharf,London,E14 3FD,504.6863734679164
Barmouth Road,799999,Flat / Apartment,1283,2,2,2,Wandsworth,London,SW18 2DN,623.5378020265003
Margil House,825000,Flat / Apartment,1175,3,3,3,Singapore Road,London,W13 0FD,702.1276595744681
Television Centre,1050000,Flat / Apartment,953,2,2,2,101 Wood Lane,London,W12 7FT,1101.7838405036725
St. Ann's Crescent,575000,Flat / Apartment,720,2,2,2,Unknown,London,SW18 2LR,798.6111111111111
Eamont Court,725000,Flat / Apartment,617,2,2,2, St Johns Wood,London,NW8 7DW,1175.0405186385738
Hampton Court Way,1000000,House,1827,4,4,4,Unknown,Thames Ditton,KT7 0LT,547.3453749315818
Lanson Building,525000,Flat / Apartment,472,1,1,1,348 Queenstown Road,London,SW11 8QN,1112.2881355932204
Hepworth Court,1600000,Flat / Apartment,1019,3,3,3,30 Gatliff Road,London,SW1W 8QP,1570.1668302257115
Quarry Road,1550000,House,2326,5,5,5,Wandsworth,London,SW18 2QH,666.3800515907137
Barmouth Road,750000,Flat / Apartment,1176,3,3,3,Wandsworth,London,SW18 2DT,637.7551020408164
Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY,962.5126646403243
Redesdale Street,4250000,House,2223,4,4,4,Unknown,London,SW3 4BL,1911.8308591992802
Oxford Road,710000,Flat / Apartment,730,2,2,2,Putney,London,SW15 2LF,972.6027397260274
Ravenswood Park,1100000,House,2007,4,4,4,Northwood,Middlesex,HA6 3PR,548.0817140009965
Davenham Avenue,1600000,House,2914,4,4,4,Northwood,Middlesex,HA6 3HW,549.073438572409
Chiltern Place,12950000,New development,2840,2,2,2, Marylebone,London,W1U 4EJ,4559.859154929577
Grosvenor Avenue,749950,Flat / Apartment,1053,3,3,3,Highbury,London,N5 2NP,712.2032288698955
Devonshire Road,899950,House,1344,5,5,5,Unknown,London,W5 4TR,669.6056547619048
Barwell Court Farmhouse,699950,House,1410,3,3,3, Chessington,Surrey,KT9 2LZ,496.41843971631204
Hugero Point,399995,Flat / Apartment,569,1,1,1, Greenwich,London,SE10 0GS,702.9789103690686
Ionian Building,525000,Flat / Apartment,814,1,1,1,45 Narrow Street,London,E14 8DW,644.9631449631449
Palladian Gardens,2500000,New development,2967,5,5,5,Chiswick,London,W4 2ER,842.6019548365352
Vanilla & Sesame Court,950000,Flat / Apartment,698,2,2,2,Curlew Street,London,SE1 2NP,1361.0315186246419
George Road,1750000,New development,2553,5,5,5,Kingston Upon Thames,Surrey,KT2 7NR,685.4680767724246
Lysia Street,1225000,House,1510,4,4,4,Fulham,London,SW6 6NE,811.2582781456954
Stormont Road,700000,Flat / Apartment,678,2,2,2,Unknown,London,SW11 5EJ,1032.448377581121
17 Lillie Square,2170000,New development,1081,3,3,3, Earls Court,London,SW6 1UE,2007.4005550416282
Cholmondeley Walk,3250000,House,3410,3,3,3,Richmond,Surrey,TW9 1NS,953.0791788856305
Talisman Tower,630000,Flat / Apartment,709,2,2,2, Canary Wharf,London,E14 9BU,888.5754583921015
St Paul Street,1600000,House,1565,3,3,3,Islington,London,N1 7AH,1022.3642172523962
Balcorne Street,475000,Flat / Apartment,626,2,2,2,South Hackney,London,E9 7AU,758.7859424920127
Ormond Road,1025000,Flat / Apartment,992,3,3,3,Richmond,Surrey,TW10 6TH,1033.266129032258
Fulham Road,500000,Flat / Apartment,481,1,1,1,Unknown,London,SW6 5SA,1039.5010395010395
